Rank,CPI2015,Country,Region,wbcode,World Bank CPIA,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,CPI2015(2),Rank2,Number of Sources
9,83,Canada,AME,CAN,,79,,,79,81,79,89,88,83,,,83,9,7
16,76,The United States Of America,AME,USA,,69,,,74,89,74,79,88,73,59,,76,16,8
21,74,Uruguay,AME,URY,,71,79,,,,70,79,71,73,,,74,21,6
23,70,Chile,AME,CHL,,66,75,,60,65,68,79,71,73,,,70,23,8
40,55,Costa Rica,AME,CRI,,48,66,,,,59,50,54,52,,,55,40,6
56,47,Cuba,AME,CUB,,,40,,,,,41,54,52,,,47,56,4
69,41,Jamaica,AME,JAM,,42,36,,,,48,41,38,42,,,41,69,6
72,39,El Salvador,AME,SLV,,37,45,,,,29,41,38,42,,,39,72,6
72,39,Panama,AME,PAN,,41,36,,,,34,31,38,52,,,39,72,6
72,39,Trinidad and Tobago,AME,TTO,,34,,,,,,31,38,52,,,39,72,4
76,38,Brazil,AME,BRA,,25,62,,25,,34,31,38,52,,,38,76,7
83,37,Colombia,AME,COL,,36,45,,31,,33,41,38,32,,,37,83,7
88,36,Peru,AME,PER,,44,45,,30,,24,31,38,42,,,36,88,7
88,36,Suriname,AME,SUR,,35,,,,,,31,,42,,,36,88,3
95,35,Mexico,AME,MEX,,33,28,,28,73,20,21,38,42,,,35,95,8
99,34,Bolivia,AME,BOL,47,25,36,,,,20,31,38,42,,,34,99,7
103,33,Dominican Republic,AME,DOM,,29,32,,,,24,31,38,42,,,33,103,6
107,32,Argentina,AME,ARG,,28,36,,25,,37,31,38,32,,,32,107,7
107,32,Ecuador,AME,ECU,,43,32,,,,30,31,21,32,,,32,107,6
112,31,Honduras,AME,HND,35,45,36,,,,17,41,21,22,,,31,112,7
119,29,Guyana,AME,GUY,35,29,,,,,,21,,32,,,29,119,4
123,28,Guatemala,AME,GTM,,38,32,,,,15,31,21,32,,,28,123,6
130,27,Nicaragua,AME,NIC,35,33,28,,,,19,21,21,32,,,27,130,7
130,27,Paraguay,AME,PRY,,25,36,,,,,31,21,22,,,27,130,5
158,17,Haiti,AME,HTI,23,24,15,,,,,12,,11,,,17,158,5
158,17,Venezuela,AME,VEN,,21,15,,25,,5,12,21,22,,,17,158,7
