Rank,CPI2015,Country,Region,wbcode,World Bank CPIA,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,CPI2015(2),Rank2,Number of Sources
1,91,Denmark,WE/EU,DNK,,89,,,96,97,88,98,88,83,,,91,1,7
2,90,Finland,WE/EU,FIN,,93,,,91,89,88,98,88,83,,,90,2,7
3,89,Sweden,WE/EU,SWE,,89,,,87,89,88,98,88,83,,,89,3,7
5,87,Netherlands,WE/EU,NLD,,84,,,85,97,85,89,88,83,,,87,5,7
5,87,Norway,WE/EU,NOR,,92,,,84,73,90,98,88,83,,,87,5,7
7,86,Switzerland,WE/EU,CHE,,87,,,88,89,,89,88,73,,,86,7,6
10,81,Germany,WE/EU,DEU,,72,,,83,81,80,89,88,73,,,81,10,7
10,81,Luxembourg,WE/EU,LUX,,89,,,85,57,,89,,83,,,81,10,5
10,81,United Kingdom,WE/EU,GBR,,82,,,81,73,80,89,88,73,,,81,10,7
13,79,Iceland,WE/EU,ISL,,87,,,83,65,,89,,73,,,79,13,5
15,77,Belgium,WE/EU,BEL,,79,,,77,81,76,79,71,73,,,77,15,7
16,76,Austria,WE/EU,AUT,,77,,,70,81,81,79,71,73,,,76,16,7
18,75,Ireland,WE/EU,IRL,,89,,,83,73,,79,54,73,,,75,18,6
23,70,Estonia,WE/EU,EST,,79,75,,73,81,71,69,54,63,,66,70,23,9
23,70,France,WE/EU,FRA,,70,,,71,57,71,79,71,73,,,70,23,7
28,63,Portugal,WE/EU,PRT,,62,,,58,57,68,69,54,73,,,63,28,7
30,62,Poland,WE/EU,POL,,58,71,,58,65,67,60,54,73,,55,62,30,9
32,61,Cyprus,WE/EU,CYP,,55,,,,49,,69,71,63,,,61,32,5
32,61,Lithuania,WE/EU,LTU,,60,66,,51,81,,60,54,63,,55,61,32,8
35,60,Slovenia,WE/EU,SVN,,62,66,,42,57,58,60,54,73,,66,60,35,9
36,58,Spain,WE/EU,ESP,,55,,,37,57,65,60,71,63,,,58,36,7
37,56,Czech Republic,WE/EU,CZE,,53,66,,44,57,59,50,54,63,,55,56,37,9
37,56,Malta,WE/EU,MLT,,58,,,,41,,60,,63,,,56,37,4
40,55,Latvia,WE/EU,LVA,,56,58,,48,65,,50,54,52,,60,55,40,8
50,51,Croatia,WE/EU,HRV,,46,62,,41,57,50,50,54,52,,50,51,50,9
50,51,Hungary,WE/EU,HUN,,47,53,,34,41,44,50,71,63,,52,51,50,9
50,51,Slovakia,WE/EU,SVK,,38,62,,35,57,,50,54,63,,52,51,50,8
58,46,Greece,WE/EU,GRC,,45,,,43,57,50,41,21,63,,,46,58,7
58,46,Romania,WE/EU,ROM,,36,62,,37,57,45,41,38,42,,52,46,58,9
61,44,Italy,WE/EU,ITA,,47,,,35,49,54,41,38,42,,,44,61,7
69,41,Bulgaria,WE/EU,BGR,,38,53,,32,49,32,41,38,42,,47,41,69,9
