"UNIQ_ID","NAME","Country","Virus","CASE_TYPE","DATA_TYPE","LAT","LONG","SPR_ORDER","SOURCE_1","SOURCE_2","SOURCE_3","STR_DAY","STR_MNTH","STR_YEAR","END_DAY","END_MNTH","END_YEAR","REP_CASE","REP_DEATH","OB_ID","OB_STR_DAY","OB_STR_MNTH","OB_STR_YEAR","OB_END_DAY","OB_END_MNTH","OB_END_YEAR","OB_CASE","OB_DEATH"
101,"Nzara (Cotton Factory)","South Sudan","Ebola Sudan","index","point",4.63912,28.25115,1,NA,NA,NA,27,6,1976,NA,NA,NA,NA,NA,"1",27,6,1976,25,11,1976,284,151
102,"Nzara hospital","South Sudan","Ebola Sudan","secondary","point",4.64247,28.24864,2,101,NA,NA,6,7,1976,NA,NA,NA,NA,NA,"1",27,6,1976,25,11,1976,284,151
103,"Nzara township","South Sudan","Ebola Sudan","secondary","point",4.63912,28.25115,3,101,NA,NA,NA,8,1976,NA,NA,NA,67,31,"1",27,6,1976,25,11,1976,284,151
104,"Maridi General Hospital","South Sudan","Ebola Sudan","secondary","point",4.91599,29.46482,4,103,NA,NA,7,8,1976,NA,NA,NA,NA,NA,"1",27,6,1976,25,11,1976,284,151
105,"Maridi township","South Sudan","Ebola Sudan","secondary","point",4.91599,29.46482,5,104,NA,NA,NA,8,1976,NA,NA,NA,213,116,"1",27,6,1976,25,11,1976,284,151
106,"Juba hospital","South Sudan","Ebola Sudan","secondary","point",4.82768,31.59637,7,102,104,NA,NA,9,1976,NA,NA,NA,1,1,"1",27,6,1976,25,11,1976,284,151
107,"Tembura (Tambura in GMs)","South Sudan","Ebola Sudan","secondary","point",5.60639,27.47306,NA,103,NA,NA,NA,10,1976,NA,NA,NA,3,3,"1",27,6,1976,25,11,1976,284,151
108,"Omdurman hospital","Sudan","Ebola Sudan","import","point",15.64228,32.48741,6,103,NA,NA,21,8,1976,NA,NA,NA,1,1,"1",27,6,1976,25,11,1976,284,151
109,"Khartoum hospital","Sudan","Ebola Sudan","import","point",15.56667,32.51667,8,106,NA,NA,NA,9,1976,NA,NA,NA,NA,NA,"1",27,6,1976,25,11,1976,284,151
110,"Yambuku village (index)","Congo, the Democratic Republic of the","Ebola Zaire","index","point",2.82535,22.22567,1,NA,NA,NA,1,9,1976,NA,NA,NA,NA,NA,"2",1,9,1976,24,10,1976,318,280
111,"Yambuku village (secondary)","Congo, the Democratic Republic of the","Ebola Zaire","secondary","point",2.82535,22.22567,2,110,NA,NA,NA,9,1976,NA,NA,NA,NA,NA,"2",1,9,1976,24,10,1976,318,280
