"UNIQ_ID","NAME","Country","Virus","CASE_TYPE","DATA_TYPE","LAT","LONG","SPR_ORDER","SOURCE_1","SOURCE_2","SOURCE_3","STR_DAY","STR_MNTH","STR_YEAR","END_DAY","END_MNTH","END_YEAR","REP_CASE","REP_DEATH","OB_ID","OB_STR_DAY","OB_STR_MNTH","OB_STR_YEAR","OB_END_DAY","OB_END_MNTH","OB_END_YEAR","OB_CASE","OB_DEATH"
112,"30km from Yambuku","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",2.82536,22.22567,3,111,NA,NA,NA,9,1976,NA,NA,NA,NA,NA,"2",1,9,1976,24,10,1976,318,280
113,"120km from Yambuku (Bumba Zone 55/250 villages affected)","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",2.82547,22.22567,4,NA,NA,NA,NA,10,1976,NA,NA,NA,NA,NA,"2",1,9,1976,24,10,1976,318,280
115,"Bonduni village (20km east of Tanda)","Congo, the Democratic Republic of the","Ebola Zaire","index","polygon",2.88874,19.22384,1,NA,NA,NA,NA,6,1977,1,6,1997,1,1,"3",1,6,1977,1,6,1977,1,1
118,"15km radius around Nzara","South Sudan","Ebola Sudan","secondary","polygon",4.63912,28.25115,3,117,NA,NA,NA,8,1979,NA,NA,NA,NA,NA,"4",31,7,1979,6,10,1979,34,22
119,"15km radius around Yambio","South Sudan","Ebola Sudan","secondary","polygon",4.57757,28.39878,3,117,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,"4",31,7,1979,6,10,1979,34,22
120,"Tai National Park","Cote d'Ivoire","Ebola Ivory Coast","index","polygon",5.86442,-7.31794,1,NA,NA,NA,24,11,1994,24,11,1994,1,0,"5",24,11,1994,24,11,1994,1,0
121,"Mekouka and Andock mining camps","Gabon","Ebola Zaire","index","polygon",1.44201,12.92929,1,NA,NA,NA,13,11,1994,NA,NA,NA,NA,NA,"6",13,11,1994,9,2,1995,49,30
129,"Mwembe (15km from Kikwit)","Congo, the Democratic Republic of the","Ebola Zaire","index","polygon",-5.03334,18.81667,1,NA,NA,NA,6,1,1995,NA,NA,NA,NA,NA,"7",6,1,1995,16,7,1995,315,250
133,"Kikwit subregion","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-4.60873,18.67919,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,262,NA,"7",6,1,1995,16,7,1995,315,250
136,"150km from Kikwit within Kwilu district","Congo, the Democratic Republic of the","Ebola Zaire","secondary","polygon",-4.93064,18.8744,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,45,NA,"7",6,1,1995,16,7,1995,315,250
137,"150km from Kikwit within Kwango district","Congo, the Democratic Republic of the","Ebola Zaire","import","polygon",-5.88291,18.31977,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,1,NA,"7",6,1,1995,16,7,1995,315,250
147,"Around Booue","Gabon","Ebola Zaire","secondary","polygon",-0.09363,11.94907,NA,NA,NA,NA,NA,11,1976,NA,NA,NA,NA,NA,"9",13,7,1996,18,1,1997,60,45
148,"Libreville","Gabon","Ebola Zaire","secondary","polygon",0.39478,9.50627,NA,145,NA,NA,9,9,1976,NA,NA,NA,15,11,"9",13,7,1996,18,1,1997,60,45
149,"Johannesburg (South Africa)","Gabon","Ebola Zaire","secondary","polygon",-26.17673,27.96352,NA,148,NA,NA,NA,11,1976,NA,NA,NA,NA,NA,"9",13,7,1996,18,1,1997,60,45
153,"Gulu district","Uganda","Ebola Sudan","secondary","polygon",2.83664,32.42975,2,152,NA,NA,NA,10,2000,NA,NA,NA,393,203,"10",30,8,2000,9,1,2001,425,224
154,"Mbarara district","Uganda","Ebola Sudan","secondary","polygon",-0.56762,30.56905,3,153,NA,NA,NA,1,2001,NA,NA,NA,5,4,"10",30,8,2000,9,1,2001,425,224
155,"Masindi district","Uganda","Ebola Sudan","secondary","polygon",1.74679,31.71168,3,153,NA,NA,NA,1,2001,NA,NA,NA,27,17,"10",30,8,2000,9,1,2001,425,224
161,"Entsiami, Abolo, Ambomi","Congo","Ebola Zaire","index","polygon",0.09141,14.21818,1,NA,NA,NA,NA,10,2001,NA,NA,NA,NA,NA,"11b",21,10,2001,18,3,2002,124,97
164,"Etakangaye","Gabon","Ebola Zaire","index","polygon",1.07168,14.10658,1,NA,NA,NA,NA,12,2001,NA,NA,NA,NA,NA,"11e",21,10,2001,18,3,2002,124,97
165,"Grand Etoumbi","Gabon","Ebola Zaire","index","polygon",1.30411,14.17743,1,NA,NA,NA,23,2,2002,NA,NA,NA,NA,NA,"11f",21,10,2002,18,3,2002,124,97
168,"Zadie Department, Gabon","Gabon","Ebola Zaire","secondary","polygon",0.891,13.92133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,"11",21,10,2001,18,3,2002,124,97
169,"Ivindo Department, Gabon","Gabon","Ebola Zaire","secondary","polygon",0.66543,13.03386,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"11",21,10,2001,18,3,2002,124,97
170,"Mbomo district (ROC)","Congo","Ebola Zaire","secondary","polygon",0.59709,14.70635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"11",21,10,2001,18,3,2002,124,97
171,"Kelle district (ROC)","Congo","Ebola Zaire","secondary","polygon",-0.11441,14.37567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"11",21,10,2001,18,3,2002,124,97
174,"Site 2  (Kullu district, Cuvette Ouest)","Congo","Ebola Zaire","index","polygon",0.14963,14.43731,1,NA,NA,NA,NA,12,2002,NA,NA,NA,NA,NA,"12b",21,12,2002,NA,4,2003,143,128
178,"Kelle health district","Congo","Ebola Zaire","secondary","polygon",-0.11441,14.37567,2,NA,NA,NA,NA,1,2003,NA,NA,NA,126,NA,"12",21,12,2002,NA,4,2003,143,128
179,"Mbomo district","Congo","Ebola Zaire","secondary","polygon",0.59709,14.70635,3,178,NA,NA,NA,2,2003,NA,NA,NA,17,NA,"12",21,12,2002,NA,4,2003,143,128
