location_name,sex_name,years,mean
Afghanistan,Males,years,3.23
Afghanistan,Females,years,0.6
Afghanistan,Both,years,1.92
Albania,Males,years,11.31
Albania,Females,years,10.68
Albania,Both,years,11
Algeria,Males,years,4.82
Algeria,Females,years,3.45
Algeria,Both,years,4.14
Andorra,Males,years,12.88
Andorra,Females,years,12.82
Andorra,Both,years,12.85
Angola,Males,years,5.52
Angola,Females,years,3.06
Angola,Both,years,4.29
Antigua and Barbuda,Males,years,12.64
Antigua and Barbuda,Females,years,13.79
Antigua and Barbuda,Both,years,13.22
Argentina,Males,years,10.73
Argentina,Females,years,11.32
Argentina,Both,years,11.02
Armenia,Males,years,12
Armenia,Females,years,12.13
Armenia,Both,years,12.06
Australasia,Males,years,13.62
Australasia,Females,years,13.79
Australasia,Both,years,13.7
Australia,Males,years,13.57
Australia,Females,years,13.72
Australia,Both,years,13.65
Austria,Males,years,12.67
Austria,Females,years,12.29
Austria,Both,years,12.48
Azerbaijan,Males,years,12.75
Azerbaijan,Females,years,12.04
Azerbaijan,Both,years,12.4
Bahrain,Males,years,8.02
Bahrain,Females,years,6.9
Bahrain,Both,years,7.46
Bangladesh,Males,years,5.38
Bangladesh,Females,years,3.01
Bangladesh,Both,years,4.2
Barbados,Males,years,8.62
Barbados,Females,years,8.51
Barbados,Both,years,8.56
Belarus,Males,years,13.3
Belarus,Females,years,13.63
Belarus,Both,years,13.46
Belgium,Males,years,13.05
Belgium,Females,years,13.18
Belgium,Both,years,13.12
Belize,Males,years,8.71
Belize,Females,years,8.53
Belize,Both,years,8.62
Benin,Males,years,4
Benin,Females,years,1.68
Benin,Both,years,2.84
Bhutan,Males,years,5.26
Bhutan,Females,years,2.09
Bhutan,Both,years,3.68
Bolivia,Males,years,8.78
Bolivia,Females,years,7.05
Bolivia,Both,years,7.91
Bosnia and Herzegovina,Males,years,10.54
Bosnia and Herzegovina,Females,years,9.61
Bosnia and Herzegovina,Both,years,10.07
Botswana,Males,years,5.28
Botswana,Females,years,5.55
Botswana,Both,years,5.41
Brazil,Males,years,6.81
Brazil,Females,years,7.28
Brazil,Both,years,7.05
Brunei,Males,years,13.08
Brunei,Females,years,11.98
Brunei,Both,years,12.53
Bulgaria,Males,years,12.17
Bulgaria,Females,years,12.48
Bulgaria,Both,years,12.33
Burkina Faso,Males,years,1.73
Burkina Faso,Females,years,0.91
Burkina Faso,Both,years,1.32
Burundi,Males,years,4.1
Burundi,Females,years,2.4
Burundi,Both,years,3.25
Cambodia,Males,years,6.12
Cambodia,Females,years,3.77
Cambodia,Both,years,4.95
Cameroon,Males,years,6.84
Cameroon,Females,years,4.67
Cameroon,Both,years,5.76
Canada,Males,years,14.8
Canada,Females,years,15.04
Canada,Both,years,14.92
Cape Verde,Males,years,5.01
Cape Verde,Females,years,3.15
Cape Verde,Both,years,4.08
Caribbean,Males,years,9.11
Caribbean,Females,years,8.81
Caribbean,Both,years,8.96
Central African Republic,Males,years,5.3
Central African Republic,Females,years,2.24
Central African Republic,Both,years,3.77
Central Asia,Males,years,12.41
Central Asia,Females,years,12.13
Central Asia,Both,years,12.27
Chad,Males,years,2.97
Chad,Females,years,0.84
Chad,Both,years,1.91
Chile,Males,years,11.06
Chile,Females,years,11.34
Chile,Both,years,11.2
China,Males,years,9.18
China,Females,years,6.96
China,Both,years,8.07
Colombia,Males,years,8.24
Colombia,Females,years,8.49
Colombia,Both,years,8.36
Comoros,Males,years,4.55
Comoros,Females,years,2.58
Comoros,Both,years,3.56
Congo,Males,years,8.81
