location_id,geography,location_name,year,indicator,indicator_type,units,estimate,ci_lb,ci_ub
214,National,Nigeria,2000,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),73,71,74
214,National,Nigeria,2001,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),71,70,72
214,National,Nigeria,2002,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),70,69,71
214,National,Nigeria,2003,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),68,67,69
214,National,Nigeria,2004,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),67,66,68
214,National,Nigeria,2005,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),66,66,67
214,National,Nigeria,2006,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),66,65,67
214,National,Nigeria,2007,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),66,65,67
214,National,Nigeria,2008,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),67,66,67
214,National,Nigeria,2009,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),67,66,68
214,National,Nigeria,2010,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),68,67,69
214,National,Nigeria,2011,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),69,68,70
214,National,Nigeria,2012,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),70,69,71
214,National,Nigeria,2013,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),71,69,72
25318,State,Abia,2000,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),94,86,97
25318,State,Abia,2001,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,87,97
25318,State,Abia,2002,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,88,96
25318,State,Abia,2003,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,89,96
25318,State,Abia,2004,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,89,96
25318,State,Abia,2005,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,90,95
25318,State,Abia,2006,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,90,95
25318,State,Abia,2007,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,90,95
25318,State,Abia,2008,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,90,95
25318,State,Abia,2009,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,90,95
25318,State,Abia,2010,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,89,95
25318,State,Abia,2011,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,89,95
25318,State,Abia,2012,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,88,96
25318,State,Abia,2013,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,88,96
25319,State,Adamawa,2000,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),74,63,82
25319,State,Adamawa,2001,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),70,60,78
25319,State,Adamawa,2002,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),66,57,73
25319,State,Adamawa,2003,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),63,55,70
25319,State,Adamawa,2004,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),61,54,67
25319,State,Adamawa,2005,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),60,54,66
25319,State,Adamawa,2006,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),61,55,67
25319,State,Adamawa,2007,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),63,58,69
25319,State,Adamawa,2008,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),67,61,72
25319,State,Adamawa,2009,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),71,65,76
25319,State,Adamawa,2010,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),75,69,81
25319,State,Adamawa,2011,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),80,74,85
25319,State,Adamawa,2012,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),84,78,88
25319,State,Adamawa,2013,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),87,81,92
25320,State,Akwa Ibom,2000,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),79,71,86
25320,State,Akwa Ibom,2001,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),77,69,83
25320,State,Akwa Ibom,2002,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),74,68,80
25320,State,Akwa Ibom,2003,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),72,66,77
25320,State,Akwa Ibom,2004,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),70,65,75
25320,State,Akwa Ibom,2005,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),69,64,73
25320,State,Akwa Ibom,2006,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),68,63,73
25320,State,Akwa Ibom,2007,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),69,64,73
25320,State,Akwa Ibom,2008,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),70,65,74
25320,State,Akwa Ibom,2009,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),71,66,76
25320,State,Akwa Ibom,2010,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),74,68,78
25320,State,Akwa Ibom,2011,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),76,70,81
25320,State,Akwa Ibom,2012,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),78,72,84
25320,State,Akwa Ibom,2013,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),80,73,87
25321,State,Anambra,2000,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),96,94,98
25321,State,Anambra,2001,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),96,94,98
25321,State,Anambra,2002,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),96,94,97
25321,State,Anambra,2003,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),96,95,97
25321,State,Anambra,2004,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),96,94,97
25321,State,Anambra,2005,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),95,94,96
25321,State,Anambra,2006,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),95,93,96
25321,State,Anambra,2007,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),94,93,96
25321,State,Anambra,2008,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),94,92,95
25321,State,Anambra,2009,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),93,90,94
25321,State,Anambra,2010,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),92,89,94
25321,State,Anambra,2011,"Antenatal care, 1 visit (ANC1) (%)",Other maternal and child health interventions,Percent (%),91,87,93
