"fips","year","income_median","poverty"
53001,1997,32250,15.4
53003,1997,31753,15.6
53005,1997,46002,9.3
53007,1997,33882,13.6
53009,1997,34376,12.3
53011,1997,45890,9
53013,1997,32009,12.5
53015,1997,37189,12.8
53017,1997,35999,10
53019,1997,30427,19
53021,1997,32276,17.7
53023,1997,32363,10.9
53025,1997,32405,14.9
53027,1997,31091,16.2
53029,1997,41294,6.6
53031,1997,35373,11.4
53033,1997,51300,8
53035,1997,43492,8.9
53037,1997,32375,13.3
53039,1997,33208,15.5
53041,1997,32557,14.2
53043,1997,34888,11.5
53045,1997,35419,12.2
53047,1997,27453,18.5
53049,1997,28131,15.6
53051,1997,29599,17.7
53053,1997,41853,11
53055,1997,41610,8.1
53057,1997,38148,11.1
53059,1997,38915,10.1
53061,1997,49439,7.2
53063,1997,35691,12.2
53065,1997,32387,15.1
53067,1997,42360,9
53069,1997,35446,10.2
53071,1997,34471,14.5
53073,1997,37896,11.4
53075,1997,33952,14.5
53077,1997,30822,18.3
