"","fips","year.x","cig_tax","year.y","cig_sales_pc"
"1",1,2010,1.435,2010,71.5
"2",1,2010,1.435,2011,68.4
"3",1,2010,1.435,2012,67.2
"4",1,2010,1.435,2013,64.6
"5",1,2010,1.435,2014,61.7
"6",1,2011,1.435,2010,71.5
"7",1,2011,1.435,2011,68.4
"8",1,2011,1.435,2012,67.2
"9",1,2011,1.435,2013,64.6
"10",1,2011,1.435,2014,61.7
"11",1,2012,1.435,2010,71.5
"12",1,2012,1.435,2011,68.4
"13",1,2012,1.435,2012,67.2
"14",1,2012,1.435,2013,64.6
"15",1,2012,1.435,2014,61.7
"16",1,2013,1.435,2010,71.5
"17",1,2013,1.435,2011,68.4
"18",1,2013,1.435,2012,67.2
"19",1,2013,1.435,2013,64.6
"20",1,2013,1.435,2014,61.7
"21",1,2014,1.435,2010,71.5
"22",1,2014,1.435,2011,68.4
"23",1,2014,1.435,2012,67.2
"24",1,2014,1.435,2013,64.6
"25",1,2014,1.435,2014,61.7
"26",2,2010,3.01,2010,43.8
"27",2,2010,3.01,2011,43.3
"28",2,2010,3.01,2012,41.2
"29",2,2010,3.01,2013,39
"30",2,2010,3.01,2014,37.2
"31",2,2011,3.01,2010,43.8
"32",2,2011,3.01,2011,43.3
"33",2,2011,3.01,2012,41.2
"34",2,2011,3.01,2013,39
"35",2,2011,3.01,2014,37.2
"36",2,2012,3.01,2010,43.8
"37",2,2012,3.01,2011,43.3
"38",2,2012,3.01,2012,41.2
"39",2,2012,3.01,2013,39
"40",2,2012,3.01,2014,37.2
"41",2,2013,3.01,2010,43.8
"42",2,2013,3.01,2011,43.3
"43",2,2013,3.01,2012,41.2
"44",2,2013,3.01,2013,39
"45",2,2013,3.01,2014,37.2
"46",2,2014,3.01,2010,43.8
"47",2,2014,3.01,2011,43.3
"48",2,2014,3.01,2012,41.2
"49",2,2014,3.01,2013,39
"50",2,2014,3.01,2014,37.2
"51",4,2010,3.01,2010,24.8
"52",4,2010,3.01,2011,27.1
"53",4,2010,3.01,2012,25
"54",4,2010,3.01,2013,24.4
"55",4,2010,3.01,2014,23
"56",4,2011,3.01,2010,24.8
"57",4,2011,3.01,2011,27.1
"58",4,2011,3.01,2012,25
"59",4,2011,3.01,2013,24.4
"60",4,2011,3.01,2014,23
"61",4,2012,3.01,2010,24.8
"62",4,2012,3.01,2011,27.1
"63",4,2012,3.01,2012,25
"64",4,2012,3.01,2013,24.4
"65",4,2012,3.01,2014,23
"66",4,2013,3.01,2010,24.8
"67",4,2013,3.01,2011,27.1
"68",4,2013,3.01,2012,25
"69",4,2013,3.01,2013,24.4
"70",4,2013,3.01,2014,23
"71",4,2014,3.01,2010,24.8
"72",4,2014,3.01,2011,27.1
"73",4,2014,3.01,2012,25
"74",4,2014,3.01,2013,24.4
"75",4,2014,3.01,2014,23
"76",5,2010,2.16,2010,63.2
"77",5,2010,2.16,2011,61.1
"78",5,2010,2.16,2012,60.5
"79",5,2010,2.16,2013,57.5
"80",5,2010,2.16,2014,54.4
"81",5,2011,2.16,2010,63.2
"82",5,2011,2.16,2011,61.1
"83",5,2011,2.16,2012,60.5
"84",5,2011,2.16,2013,57.5
"85",5,2011,2.16,2014,54.4
"86",5,2012,2.16,2010,63.2
"87",5,2012,2.16,2011,61.1
"88",5,2012,2.16,2012,60.5
"89",5,2012,2.16,2013,57.5
"90",5,2012,2.16,2014,54.4
"91",5,2013,2.16,2010,63.2
"92",5,2013,2.16,2011,61.1
"93",5,2013,2.16,2012,60.5
"94",5,2013,2.16,2013,57.5
"95",5,2013,2.16,2014,54.4
"96",5,2014,2.16,2010,63.2
"97",5,2014,2.16,2011,61.1
"98",5,2014,2.16,2012,60.5
"99",5,2014,2.16,2013,57.5
"100",5,2014,2.16,2014,54.4
"101",6,2010,1.88,2010,26.3
"102",6,2010,1.88,2011,26
"103",6,2010,1.88,2012,25.2
"104",6,2010,1.88,2013,23.9
"105",6,2010,1.88,2014,22.7
"106",6,2011,1.88,2010,26.3
"107",6,2011,1.88,2011,26
"108",6,2011,1.88,2012,25.2
"109",6,2011,1.88,2013,23.9
"110",6,2011,1.88,2014,22.7
"111",6,2012,1.88,2010,26.3
"112",6,2012,1.88,2011,26
"113",6,2012,1.88,2012,25.2
"114",6,2012,1.88,2013,23.9
"115",6,2012,1.88,2014,22.7
"116",6,2013,1.88,2010,26.3
"117",6,2013,1.88,2011,26
"118",6,2013,1.88,2012,25.2
"119",6,2013,1.88,2013,23.9
"120",6,2013,1.88,2014,22.7
"121",6,2014,1.88,2010,26.3
"122",6,2014,1.88,2011,26
"123",6,2014,1.88,2012,25.2
"124",6,2014,1.88,2013,23.9
"125",6,2014,1.88,2014,22.7
"126",8,2010,1.85,2010,41.4
"127",8,2010,1.85,2011,40.6
"128",8,2010,1.85,2012,40.6
"129",8,2010,1.85,2013,38.3
"130",8,2010,1.85,2014,36.7
"131",8,2011,1.85,2010,41.4
"132",8,2011,1.85,2011,40.6
"133",8,2011,1.85,2012,40.6
"134",8,2011,1.85,2013,38.3
"135",8,2011,1.85,2014,36.7
"136",8,2012,1.85,2010,41.4
"137",8,2012,1.85,2011,40.6
"138",8,2012,1.85,2012,40.6
"139",8,2012,1.85,2013,38.3
"140",8,2012,1.85,2014,36.7
"141",8,2013,1.85,2010,41.4
"142",8,2013,1.85,2011,40.6
"143",8,2013,1.85,2012,40.6
"144",8,2013,1.85,2013,38.3
"145",8,2013,1.85,2014,36.7
"146",8,2014,1.85,2010,41.4
"147",8,2014,1.85,2011,40.6
"148",8,2014,1.85,2012,40.6
"149",8,2014,1.85,2013,38.3
"150",8,2014,1.85,2014,36.7
"151",9,2010,4.01,2010,40.8
"152",9,2010,4.01,2011,36.3
"153",9,2010,4.01,2012,33.5
"154",9,2010,4.01,2013,31.4
"155",9,2010,4.01,2014,30.1
"156",9,2011,4.41,2010,40.8
"157",9,2011,4.41,2011,36.3
"158",9,2011,4.41,2012,33.5
"159",9,2011,4.41,2013,31.4
"160",9,2011,4.41,2014,30.1
"161",9,2012,4.41,2010,40.8
"162",9,2012,4.41,2011,36.3
"163",9,2012,4.41,2012,33.5
"164",9,2012,4.41,2013,31.4
"165",9,2012,4.41,2014,30.1
"166",9,2013,4.41,2010,40.8
"167",9,2013,4.41,2011,36.3
"168",9,2013,4.41,2012,33.5
"169",9,2013,4.41,2013,31.4
"170",9,2013,4.41,2014,30.1
"171",9,2014,4.41,2010,40.8
"172",9,2014,4.41,2011,36.3
"173",9,2014,4.41,2012,33.5
"174",9,2014,4.41,2013,31.4
"175",9,2014,4.41,2014,30.1
"176",10,2010,2.61,2010,95
"177",10,2010,2.61,2011,87.6
"178",10,2010,2.61,2012,84.9
"179",10,2010,2.61,2013,77.1
"180",10,2010,2.61,2014,71.2
"181",10,2011,2.61,2010,95
"182",10,2011,2.61,2011,87.6
"183",10,2011,2.61,2012,84.9
"184",10,2011,2.61,2013,77.1
"185",10,2011,2.61,2014,71.2
"186",10,2012,2.61,2010,95
"187",10,2012,2.61,2011,87.6
"188",10,2012,2.61,2012,84.9
"189",10,2012,2.61,2013,77.1
"190",10,2012,2.61,2014,71.2
"191",10,2013,2.61,2010,95
"192",10,2013,2.61,2011,87.6
"193",10,2013,2.61,2012,84.9
"194",10,2013,2.61,2013,77.1
"195",10,2013,2.61,2014,71.2
"196",10,2014,2.61,2010,95
"197",10,2014,2.61,2011,87.6
"198",10,2014,2.61,2012,84.9
"199",10,2014,2.61,2013,77.1
"200",10,2014,2.61,2014,71.2
"201",11,2010,3.51,2010,23.1
"202",11,2010,3.51,2011,24.2
"203",11,2010,3.51,2012,20
"204",11,2010,3.51,2013,18.6
"205",11,2010,3.51,2014,16.2
"206",11,2011,3.87,2010,23.1
"207",11,2011,3.87,2011,24.2
"208",11,2011,3.87,2012,20
"209",11,2011,3.87,2013,18.6
"210",11,2011,3.87,2014,16.2
"211",11,2012,3.87,2010,23.1
"212",11,2012,3.87,2011,24.2
"213",11,2012,3.87,2012,20
"214",11,2012,3.87,2013,18.6
"215",11,2012,3.87,2014,16.2
"216",11,2013,3.87,2010,23.1
"217",11,2013,3.87,2011,24.2
"218",11,2013,3.87,2012,20
"219",11,2013,3.87,2013,18.6
"220",11,2013,3.87,2014,16.2
"221",11,2014,3.87,2010,23.1
"222",11,2014,3.87,2011,24.2
"223",11,2014,3.87,2012,20
"224",11,2014,3.87,2013,18.6
"225",11,2014,3.87,2014,16.2
"226",12,2010,2.349,2010,50
"227",12,2010,2.349,2011,49.7
"228",12,2010,2.349,2012,45.9
"229",12,2010,2.349,2013,44.3
"230",12,2010,2.349,2014,42.4
"231",12,2011,2.349,2010,50
"232",12,2011,2.349,2011,49.7
"233",12,2011,2.349,2012,45.9
"234",12,2011,2.349,2013,44.3
"235",12,2011,2.349,2014,42.4
"236",12,2012,2.349,2010,50
"237",12,2012,2.349,2011,49.7
"238",12,2012,2.349,2012,45.9
"239",12,2012,2.349,2013,44.3
"240",12,2012,2.349,2014,42.4
"241",12,2013,2.349,2010,50
"242",12,2013,2.349,2011,49.7
"243",12,2013,2.349,2012,45.9
"244",12,2013,2.349,2013,44.3
"245",12,2013,2.349,2014,42.4
"246",12,2014,2.349,2010,50
"247",12,2014,2.349,2011,49.7
"248",12,2014,2.349,2012,45.9
"249",12,2014,2.349,2013,44.3
"250",12,2014,2.349,2014,42.4
"251",13,2010,1.38,2010,55.3
"252",13,2010,1.38,2011,54.3
"253",13,2010,1.38,2012,53.1
"254",13,2010,1.38,2013,49.9
"255",13,2010,1.38,2014,49
"256",13,2011,1.38,2010,55.3
"257",13,2011,1.38,2011,54.3
"258",13,2011,1.38,2012,53.1
"259",13,2011,1.38,2013,49.9
"260",13,2011,1.38,2014,49
"261",13,2012,1.38,2010,55.3
"262",13,2012,1.38,2011,54.3
"263",13,2012,1.38,2012,53.1
"264",13,2012,1.38,2013,49.9
"265",13,2012,1.38,2014,49
"266",13,2013,1.38,2010,55.3
"267",13,2013,1.38,2011,54.3
"268",13,2013,1.38,2012,53.1
"269",13,2013,1.38,2013,49.9
"270",13,2013,1.38,2014,49
"271",13,2014,1.38,2010,55.3
"272",13,2014,1.38,2011,54.3
"273",13,2014,1.38,2012,53.1
"274",13,2014,1.38,2013,49.9
"275",13,2014,1.38,2014,49
"276",15,2010,4.01,2010,36.2
"277",15,2010,4.01,2011,32.9
"278",15,2010,4.01,2012,29.8
"279",15,2010,4.01,2013,27
"280",15,2010,4.01,2014,25.4
"281",15,2011,4.21,2010,36.2
"282",15,2011,4.21,2011,32.9
"283",15,2011,4.21,2012,29.8
"284",15,2011,4.21,2013,27
"285",15,2011,4.21,2014,25.4
"286",15,2012,4.21,2010,36.2
"287",15,2012,4.21,2011,32.9
"288",15,2012,4.21,2012,29.8
"289",15,2012,4.21,2013,27
"290",15,2012,4.21,2014,25.4
"291",15,2013,4.21,2010,36.2
"292",15,2013,4.21,2011,32.9
"293",15,2013,4.21,2012,29.8
"294",15,2013,4.21,2013,27
"295",15,2013,4.21,2014,25.4
"296",15,2014,4.21,2010,36.2
"297",15,2014,4.21,2011,32.9
"298",15,2014,4.21,2012,29.8
"299",15,2014,4.21,2013,27
"300",15,2014,4.21,2014,25.4
"301",16,2010,1.58,2010,46.4
"302",16,2010,1.58,2011,45.5
"303",16,2010,1.58,2012,43.5
"304",16,2010,1.58,2013,43.1
"305",16,2010,1.58,2014,40.8
"306",16,2011,1.58,2010,46.4
"307",16,2011,1.58,2011,45.5
"308",16,2011,1.58,2012,43.5
"309",16,2011,1.58,2013,43.1
"310",16,2011,1.58,2014,40.8
"311",16,2012,1.58,2010,46.4
"312",16,2012,1.58,2011,45.5
"313",16,2012,1.58,2012,43.5
"314",16,2012,1.58,2013,43.1
"315",16,2012,1.58,2014,40.8
"316",16,2013,1.58,2010,46.4
"317",16,2013,1.58,2011,45.5
"318",16,2013,1.58,2012,43.5
"319",16,2013,1.58,2013,43.1
"320",16,2013,1.58,2014,40.8
"321",16,2014,1.58,2010,46.4
"322",16,2014,1.58,2011,45.5
"323",16,2014,1.58,2012,43.5
"324",16,2014,1.58,2013,43.1
"325",16,2014,1.58,2014,40.8
"326",17,2010,1.99,2010,44.1
"327",17,2010,1.99,2011,45.3
"328",17,2010,1.99,2012,46.5
"329",17,2010,1.99,2013,31.7
"330",17,2010,1.99,2014,33.6
"331",17,2011,1.99,2010,44.1
"332",17,2011,1.99,2011,45.3
"333",17,2011,1.99,2012,46.5
"334",17,2011,1.99,2013,31.7
"335",17,2011,1.99,2014,33.6
"336",17,2012,2.99,2010,44.1
"337",17,2012,2.99,2011,45.3
"338",17,2012,2.99,2012,46.5
"339",17,2012,2.99,2013,31.7
"340",17,2012,2.99,2014,33.6
"341",17,2013,2.99,2010,44.1
"342",17,2013,2.99,2011,45.3
"343",17,2013,2.99,2012,46.5
"344",17,2013,2.99,2013,31.7
"345",17,2013,2.99,2014,33.6
"346",17,2014,2.99,2010,44.1
"347",17,2014,2.99,2011,45.3
"348",17,2014,2.99,2012,46.5
"349",17,2014,2.99,2013,31.7
"350",17,2014,2.99,2014,33.6
"351",18,2010,2.005,2010,71.7
"352",18,2010,2.005,2011,69.6
"353",18,2010,2.005,2012,66
"354",18,2010,2.005,2013,66.9
"355",18,2010,2.005,2014,63.6
"356",18,2011,2.005,2010,71.7
"357",18,2011,2.005,2011,69.6
"358",18,2011,2.005,2012,66
"359",18,2011,2.005,2013,66.9
"360",18,2011,2.005,2014,63.6
"361",18,2012,2.005,2010,71.7
"362",18,2012,2.005,2011,69.6
"363",18,2012,2.005,2012,66
"364",18,2012,2.005,2013,66.9
"365",18,2012,2.005,2014,63.6
"366",18,2013,2.005,2010,71.7
"367",18,2013,2.005,2011,69.6
"368",18,2013,2.005,2012,66
"369",18,2013,2.005,2013,66.9
"370",18,2013,2.005,2014,63.6
"371",18,2014,2.005,2010,71.7
"372",18,2014,2.005,2011,69.6
"373",18,2014,2.005,2012,66
"374",18,2014,2.005,2013,66.9
"375",18,2014,2.005,2014,63.6
"376",19,2010,2.37,2010,51.3
"377",19,2010,2.37,2011,49.1
"378",19,2010,2.37,2012,48.6
"379",19,2010,2.37,2013,48.5
"380",19,2010,2.37,2014,47.1
"381",19,2011,2.37,2010,51.3
"382",19,2011,2.37,2011,49.1
"383",19,2011,2.37,2012,48.6
"384",19,2011,2.37,2013,48.5
"385",19,2011,2.37,2014,47.1
"386",19,2012,2.37,2010,51.3
"387",19,2012,2.37,2011,49.1
"388",19,2012,2.37,2012,48.6
"389",19,2012,2.37,2013,48.5
"390",19,2012,2.37,2014,47.1
"391",19,2013,2.37,2010,51.3
"392",19,2013,2.37,2011,49.1
"393",19,2013,2.37,2012,48.6
"394",19,2013,2.37,2013,48.5
"395",19,2013,2.37,2014,47.1
"396",19,2014,2.37,2010,51.3
"397",19,2014,2.37,2011,49.1
"398",19,2014,2.37,2012,48.6
"399",19,2014,2.37,2013,48.5
"400",19,2014,2.37,2014,47.1
"401",20,2010,1.8,2010,45.2
"402",20,2010,1.8,2011,41.2
"403",20,2010,1.8,2012,43
"404",20,2010,1.8,2013,41
"405",20,2010,1.8,2014,39.5
"406",20,2011,1.8,2010,45.2
"407",20,2011,1.8,2011,41.2
"408",20,2011,1.8,2012,43
"409",20,2011,1.8,2013,41
"410",20,2011,1.8,2014,39.5
"411",20,2012,1.8,2010,45.2
"412",20,2012,1.8,2011,41.2
"413",20,2012,1.8,2012,43
"414",20,2012,1.8,2013,41
